sensor_id,sensor_parameter,station_id
3257,NO2,471
14378,PM2.5,471
3259,O3,471
3265,SO2,471
16046,CO,485
17225,PM10,485
16048,NO2,485
16044,PM2.5,485
16050,O3,485
16051,SO2,485
3339,NO2,488
14779,PM2.5,488
14352,O3,488
3348,SO2,488
3526,PM10,517
3528,PM2.5,517
1888,CO,266
1900,PM10,266
1885,C6H6,266
1895,NO2,266
16472,PM2.5,266
1897,O3,266
1902,SO2,266
18009,C6H6,236
15727,NO2,236
1676,O3,236
14348,SO2,236
1741,O3,248
16744,PM10,285
14367,C6H6,285
2001,NO2,285
2008,SO2,285
15688,NO2,9593
18039,NO2,10874
18042,O3,10874
18041,SO2,10874
2411,CO,361
2421,PM10,361
2410,C6H6,361
2416,NO2,361
2418,O3,361
2425,SO2,361
2649,CO,387
14428,PM10,387
2647,C6H6,387
2657,NO2,387
2664,PM2.5,387
2659,O3,387
2668,SO2,387
2504,NO2,374
2506,O3,374
2510,SO2,374
2519,CO,376
2528,PM10,376
2523,NO2,376
2525,O3,376
2532,SO2,376
2554,CO,379
2563,PM10,379
2559,NO2,379
19721,PM2.5,379
14633,O3,379
2566,SO2,379
2589,CO,382
14618,PM10,382
2594,NO2,382
2596,O3,382
2601,SO2,382
853,PM10,145
850,NO2,145
855,SO2,145
1405,PM10,206
1407,PM2.5,206
1403,O3,206
1416,CO,208
1426,PM10,208
1414,C6H6,208
1421,NO2,208
1429,SO2,208
806,CO,142
812,PM10,142
809,NO2,142
814,SO2,142
828,PM10,143
824,NO2,143
831,SO2,143
1048,C6H6,164
1061,NO2,164
1063,O3,164
1283,NO2,190
1285,O3,190
1289,SO2,190
1607,CO,232
1600,C6H6,232
1635,NO2,232
1640,O3,232
1650,SO2,232
